k,f,name,E_semi,T_semi,obj_semi,E_active,T_active,obj_active,dE,dT,dObj
1,5,"Instance_100_10_3_0,2_0,2_10_Rep0",18307,33575,51882,42435,32980,75415,24128,-595,23533
1,5,"Instance_100_10_3_0,2_0,2_10_Rep1",15406,21450,36856,46436,22064,68500,31030,614,31644
1,5,"Instance_100_10_3_0,2_0,2_10_Rep2",13996,32043,46039,51443,35048,86491,37447,3005,40452
1,5,"Instance_100_10_3_0,2_0,2_10_Rep3",12854,21386,34240,54205,21611,75816,41351,225,41576
1,5,"Instance_100_10_3_0,2_0,2_10_Rep4",9868,22576,32444,38383,21478,59861,28515,-1098,27417
1,5,"Instance_100_10_3_0,2_0,2_20_Rep0",5947,18179,24126,41686,21613,63299,35739,3434,39173
1,5,"Instance_100_10_3_0,2_0,2_20_Rep1",10883,22897,33780,36344,25292,61636,25461,2395,27856
1,5,"Instance_100_10_3_0,2_0,2_20_Rep2",6635,22387,29022,28502,22305,50807,21867,-82,21785
1,5,"Instance_100_10_3_0,2_0,2_20_Rep3",12509,13822,26331,31119,13230,44349,18610,-592,18018
1,5,"Instance_100_10_3_0,2_0,2_20_Rep4",9009,22351,31360,39507,20664,60171,30498,-1687,28811
1,5,"Instance_100_10_3_0,2_0,6_10_Rep0",3438,7009,10447,11847,7197,19044,8409,188,8597
1,5,"Instance_100_10_3_0,2_0,6_10_Rep1",4467,6867,11334,10590,28493,39083,6123,21626,27749
1,5,"Instance_100_10_3_0,2_0,6_10_Rep2",952,17332,18284,4081,35259,39340,3129,17927,21056
1,5,"Instance_100_10_3_0,2_0,6_10_Rep3",218,1199,1417,4544,4545,9089,4326,3346,7672
1,5,"Instance_100_10_3_0,2_0,6_10_Rep4",2584,6776,9360,4952,28918,33870,2368,22142,24510
1,5,"Instance_100_10_3_0,2_0,6_20_Rep0",7,1438,1445,7834,9564,17398,7827,8126,15953
1,5,"Instance_100_10_3_0,2_0,6_20_Rep1",2312,2791,5103,5410,3438,8848,3098,647,3745
1,5,"Instance_100_10_3_0,2_0,6_20_Rep2",659,1122,1781,6278,14867,21145,5619,13745,19364
1,5,"Instance_100_10_3_0,2_0,6_20_Rep3",2924,1682,4606,12740,5248,17988,9816,3566,13382
1,5,"Instance_100_10_3_0,2_0,6_20_Rep4",1673,2895,4568,11776,3251,15027,10103,356,10459
1,5,"Instance_100_10_3_0,2_1_10_Rep0",0,0,0,1073,430,1503,1073,430,1503
1,5,"Instance_100_10_3_0,2_1_10_Rep1",0,0,0,56,45,101,56,45,101
1,5,"Instance_100_10_3_0,2_1_10_Rep2",0,0,0,0,15,15,0,15,15
1,5,"Instance_100_10_3_0,2_1_10_Rep3",0,0,0,107,40,147,107,40,147
1,5,"Instance_100_10_3_0,2_1_10_Rep4",0,0,0,444,166,610,444,166,610
1,5,"Instance_100_10_3_0,2_1_20_Rep0",0,0,0,4,22,26,4,22,26
1,5,"Instance_100_10_3_0,2_1_20_Rep1",0,0,0,7,18,25,7,18,25
1,5,"Instance_100_10_3_0,2_1_20_Rep2",0,0,0,56,227,283,56,227,283
1,5,"Instance_100_10_3_0,2_1_20_Rep3",0,0,0,786,48,834,786,48,834
1,5,"Instance_100_10_3_0,2_1_20_Rep4",0,0,0,0,0,0,0,0,0
1,5,"Instance_100_10_3_0,4_0,2_10_Rep0",1732,95056,96788,13673,91681,105354,11941,-3375,8566
1,5,"Instance_100_10_3_0,4_0,2_10_Rep1",5518,74999,80517,19827,74411,94238,14309,-588,13721
1,5,"Instance_100_10_3_0,4_0,2_10_Rep2",4322,140259,144581,31145,138319,169464,26823,-1940,24883
1,5,"Instance_100_10_3_0,4_0,2_10_Rep3",4064,107156,111220,11253,97819,109072,7189,-9337,-2148
1,5,"Instance_100_10_3_0,4_0,2_10_Rep4",2317,66205,68522,13968,71630,85598,11651,5425,17076
1,5,"Instance_100_10_3_0,4_0,2_20_Rep0",1911,62823,64734,7404,63144,70548,5493,321,5814
1,5,"Instance_100_10_3_0,4_0,2_20_Rep1",269,130536,130805,8816,131238,140054,8547,702,9249
1,5,"Instance_100_10_3_0,4_0,2_20_Rep2",1967,75787,77754,15789,76180,91969,13822,393,14215
1,5,"Instance_100_10_3_0,4_0,2_20_Rep3",1555,90317,91872,9933,87180,97113,8378,-3137,5241
1,5,"Instance_100_10_3_0,4_0,2_20_Rep4",783,74830,75613,12996,74142,87138,12213,-688,11525
1,5,"Instance_100_10_3_0,4_0,6_10_Rep0",164,54396,54560,2205,54925,57130,2041,529,2570
1,5,"Instance_100_10_3_0,4_0,6_10_Rep1",65,80238,80303,8358,81760,90118,8293,1522,9815
1,5,"Instance_100_10_3_0,4_0,6_10_Rep2",214,58531,58745,10565,57600,68165,10351,-931,9420
1,5,"Instance_100_10_3_0,4_0,6_10_Rep3",0,69894,69894,3223,62755,65978,3223,-7139,-3916
1,5,"Instance_100_10_3_0,4_0,6_10_Rep4",63,88878,88941,6781,93802,100583,6718,4924,11642
1,5,"Instance_100_10_3_0,4_0,6_20_Rep0",0,48171,48171,7889,48237,56126,7889,66,7955
1,5,"Instance_100_10_3_0,4_0,6_20_Rep1",420,48661,49081,2557,52177,54734,2137,3516,5653
1,5,"Instance_100_10_3_0,4_0,6_20_Rep2",21,65152,65173,8168,58089,66257,8147,-7063,1084
1,5,"Instance_100_10_3_0,4_0,6_20_Rep3",0,45369,45369,3440,43382,46822,3440,-1987,1453
1,5,"Instance_100_10_3_0,4_0,6_20_Rep4",0,41006,41006,1752,37947,39699,1752,-3059,-1307
1,5,"Instance_100_10_3_0,4_1_10_Rep0",297,84589,84886,1166,87977,89143,869,3388,4257
1,5,"Instance_100_10_3_0,4_1_10_Rep1",1109,87768,88877,4067,89444,93511,2958,1676,4634
1,5,"Instance_100_10_3_0,4_1_10_Rep2",0,48803,48803,2561,44897,47458,2561,-3906,-1345
1,5,"Instance_100_10_3_0,4_1_10_Rep3",0,49489,49489,0,49346,49346,0,-143,-143
1,5,"Instance_100_10_3_0,4_1_10_Rep4",769,56697,57466,2146,58658,60804,1377,1961,3338
1,5,"Instance_100_10_3_0,4_1_20_Rep0",72,25676,25748,82,26380,26462,10,704,714
1,5,"Instance_100_10_3_0,4_1_20_Rep1",69,58156,58225,2983,57379,60362,2914,-777,2137
1,5,"Instance_100_10_3_0,4_1_20_Rep2",0,60086,60086,0,55213,55213,0,-4873,-4873
1,5,"Instance_100_10_3_0,4_1_20_Rep3",8,63821,63829,2510,63851,66361,2502,30,2532
1,5,"Instance_100_10_3_0,4_1_20_Rep4",0,60218,60218,3258,69053,72311,3258,8835,12093
1,5,"Instance_100_10_3_0,6_0,2_10_Rep0",31,262667,262698,2949,269291,272240,2918,6624,9542
1,5,"Instance_100_10_3_0,6_0,2_10_Rep1",644,234543,235187,4335,239617,243952,3691,5074,8765
1,5,"Instance_100_10_3_0,6_0,2_10_Rep2",120,231961,232081,2664,229060,231724,2544,-2901,-357
1,5,"Instance_100_10_3_0,6_0,2_10_Rep3",227,224953,225180,3147,226596,229743,2920,1643,4563
1,5,"Instance_100_10_3_0,6_0,2_10_Rep4",0,221576,221576,2732,222374,225106,2732,798,3530
1,5,"Instance_100_10_3_0,6_0,2_20_Rep0",0,232319,232319,1375,228693,230068,1375,-3626,-2251
1,5,"Instance_100_10_3_0,6_0,2_20_Rep1",0,223648,223648,632,225264,225896,632,1616,2248
1,5,"Instance_100_10_3_0,6_0,2_20_Rep2",0,215085,215085,4303,203840,208143,4303,-11245,-6942
1,5,"Instance_100_10_3_0,6_0,2_20_Rep3",0,223717,223717,1559,223988,225547,1559,271,1830
1,5,"Instance_100_10_3_0,6_0,2_20_Rep4",0,234816,234816,1341,231904,233245,1341,-2912,-1571
1,5,"Instance_100_10_3_0,6_0,6_10_Rep0",0,275251,275251,248,258305,258553,248,-16946,-16698
1,5,"Instance_100_10_3_0,6_0,6_10_Rep1",0,257850,257850,4738,270504,275242,4738,12654,17392
