k,f,name,E_semi,T_semi,obj_semi,E_active,T_active,obj_active,E_lastsemi,T_lastsemi,obj_lastsemi
1,5,"Instance_200_5_3_0,2_0,2_20_Rep0",61650,95546,157196,98954,95709,194663,61650,95546,157196
1,5,"Instance_200_5_3_0,2_0,2_20_Rep1",50952,72219,123171,122949,65034,187983,50642,71705,122347
1,5,"Instance_200_5_3_0,2_0,2_20_Rep2",48554,88624,137178,154501,83700,238201,48554,88624,137178
1,5,"Instance_200_5_3_0,2_0,2_20_Rep3",41895,52988,94883,235900,54015,289915,41280,53546,94826
1,5,"Instance_200_5_3_0,2_0,2_20_Rep4",45926,77768,123694,136805,75619,212424,45926,77768,123694
1,10,"Instance_200_5_3_0,2_0,2_20_Rep0",61650,95546,157196,98954,95709,194663,61650,95546,157196
1,10,"Instance_200_5_3_0,2_0,2_20_Rep1",50433,71705,122138,117820,67238,185058,50426,71705,122131
1,10,"Instance_200_5_3_0,2_0,2_20_Rep2",48403,88691,137094,137909,85367,223276,48422,88691,137113
1,10,"Instance_200_5_3_0,2_0,2_20_Rep3",41145,53546,94691,229744,51878,281622,41474,53197,94671
1,10,"Instance_200_5_3_0,2_0,2_20_Rep4",45704,77764,123468,131037,77670,208707,45704,77764,123468
1,15,"Instance_200_5_3_0,2_0,2_20_Rep0",60314,94836,155150,98954,95709,194663,59767,95440,155207
1,15,"Instance_200_5_3_0,2_0,2_20_Rep1",49318,68932,118250,120985,65794,186779,51172,66731,117903
1,15,"Instance_200_5_3_0,2_0,2_20_Rep2",49035,84625,133660,154501,83700,238201,47839,86418,134257
1,15,"Instance_200_5_3_0,2_0,2_20_Rep3",38786,50358,89144,230757,54661,285418,38455,50598,89053
1,15,"Instance_200_5_3_0,2_0,2_20_Rep4",43654,75665,119319,132663,73794,206457,43659,76807,120466
2,5,"Instance_200_5_3_0,2_0,2_20_Rep0",166605,196454,363059,181901,201298,383199,166605,196454,363059
2,5,"Instance_200_5_3_0,2_0,2_20_Rep1",157405,160226,317631,165129,133834,298963,157405,160226,317631
2,5,"Instance_200_5_3_0,2_0,2_20_Rep2",166164,176996,343160,198818,170559,369377,166164,176996,343160
2,5,"Instance_200_5_3_0,2_0,2_20_Rep3",135712,180828,316540,170359,163132,333491,135712,180828,316540
2,5,"Instance_200_5_3_0,2_0,2_20_Rep4",156055,205059,361114,160552,212967,373519,156055,205059,361114
2,10,"Instance_200_5_3_0,2_0,2_20_Rep0",135679,203702,339381,170234,204343,374577,152772,192424,345196
2,10,"Instance_200_5_3_0,2_0,2_20_Rep1",137796,127393,265189,145908,144440,290348,126217,123689,249906
2,10,"Instance_200_5_3_0,2_0,2_20_Rep2",153841,163878,317719,189350,172449,361799,151174,171106,322280
2,10,"Instance_200_5_3_0,2_0,2_20_Rep3",108705,183041,291746,170359,163132,333491,107932,175984,283916
2,10,"Instance_200_5_3_0,2_0,2_20_Rep4",126958,198218,325176,159643,199779,359422,126811,202581,329392
2,15,"Instance_200_5_3_0,2_0,2_20_Rep0",149979,165218,315197,191371,180093,371464,147676,168094,315770
2,15,"Instance_200_5_3_0,2_0,2_20_Rep1",115588,120123,235711,147562,129705,277267,123900,110294,234194
2,15,"Instance_200_5_3_0,2_0,2_20_Rep2",157906,145776,303682,183357,173056,356413,147912,149979,297891
2,15,"Instance_200_5_3_0,2_0,2_20_Rep3",104431,152615,257046,162016,153443,315459,101663,154656,256319
2,15,"Instance_200_5_3_0,2_0,2_20_Rep4",136163,167276,303439,169427,177335,346762,116369,186675,303044
4,5,"Instance_200_5_3_0,2_0,2_20_Rep0",216263,204802,421065,208594,205369,413963,216263,204802,421065
4,5,"Instance_200_5_3_0,2_0,2_20_Rep1",166705,237235,403940,167578,221967,389545,166705,237235,403940
4,5,"Instance_200_5_3_0,2_0,2_20_Rep2",177097,230545,407642,212415,211343,423758,177097,230545,407642
4,5,"Instance_200_5_3_0,2_0,2_20_Rep3",145182,136022,281204,182316,136287,318603,145182,136022,281204
4,5,"Instance_200_5_3_0,2_0,2_20_Rep4",161065,241636,402701,170224,260976,431200,161065,241636,402701
4,10,"Instance_200_5_3_0,2_0,2_20_Rep0",171515,193690,365205,188486,214842,403328,169715,198208,367923
4,10,"Instance_200_5_3_0,2_0,2_20_Rep1",155713,192790,348503,177026,203771,380797,149497,195035,344532
4,10,"Instance_200_5_3_0,2_0,2_20_Rep2",139809,220615,360424,220639,203083,423722,151002,209495,360497
4,10,"Instance_200_5_3_0,2_0,2_20_Rep3",111617,123675,235292,175482,137198,312680,109484,119719,229203
4,10,"Instance_200_5_3_0,2_0,2_20_Rep4",132220,225694,357914,174076,246630,420706,128807,223047,351854
4,15,"Instance_200_5_3_0,2_0,2_20_Rep0",157378,169684,327062,208139,164571,372710,170705,158468,329173
4,15,"Instance_200_5_3_0,2_0,2_20_Rep1",146738,164091,310829,175857,166627,342484,144104,168314,312418
4,15,"Instance_200_5_3_0,2_0,2_20_Rep2",142914,190694,333608,223298,189681,412979,138185,190262,328447
4,15,"Instance_200_5_3_0,2_0,2_20_Rep3",108997,98570,207567,177988,126195,304183,102613,102126,204739
4,15,"Instance_200_5_3_0,2_0,2_20_Rep4",123579,182226,305805,183687,212841,396528,126131,189959,316090
8,5,"Instance_200_5_3_0,2_0,2_20_Rep0",259650,279551,539201,211498,290902,502400,259650,279551,539201
8,5,"Instance_200_5_3_0,2_0,2_20_Rep1",220167,232149,452316,214768,212636,427404,220167,232149,452316
8,5,"Instance_200_5_3_0,2_0,2_20_Rep2",187927,275681,463608,191259,272323,463582,187927,275681,463608
8,5,"Instance_200_5_3_0,2_0,2_20_Rep3",126127,277568,403695,224190,175363,399553,196172,212884,409056
8,5,"Instance_200_5_3_0,2_0,2_20_Rep4",188015,295642,483657,166775,281163,447938,164185,287499,451684
8,10,"Instance_200_5_3_0,2_0,2_20_Rep0",181046,231143,412189,231992,229590,461582,191780,234413,426193
8,10,"Instance_200_5_3_0,2_0,2_20_Rep1",62111,338687,400798,230931,190648,421579,139196,228716,367912
8,10,"Instance_200_5_3_0,2_0,2_20_Rep2",156544,236576,393120,165453,263149,428602,154492,235485,389977
8,10,"Instance_200_5_3_0,2_0,2_20_Rep3",79193,212379,291572,236893,126733,363626,104184,172587,276771
8,10,"Instance_200_5_3_0,2_0,2_20_Rep4",120614,228969,349583,180561,212309,392870,130521,231994,362515
8,15,"Instance_200_5_3_0,2_0,2_20_Rep0",34803,396281,431084,242844,164349,407193,69820,363954,433774
8,15,"Instance_200_5_3_0,2_0,2_20_Rep1",62184,243911,306095,215216,138832,354048,32574,301035,333609
8,15,"Instance_200_5_3_0,2_0,2_20_Rep2",156295,209327,365622,191116,234129,425245,165306,197563,362869
8,15,"Instance_200_5_3_0,2_0,2_20_Rep3",47366,212233,259599,193837,129629,323466,47893,212180,260073
8,15,"Instance_200_5_3_0,2_0,2_20_Rep4",30136,334631,364767,238260,176635,414895,119565,199711,319276
